CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20100,"Dover, DE",O3,4th Max,1,0.093,0.091,0.094,0.084,0.075,0.082,0.085,0.078,0.081,0.066,0.077,0.072,0.087,0.064,0.066,0.066,0.068,0.066,0.067,0.062,0.062
20180,"DuBois, PA",O3,4th Max,1,0.079,0.089,0.095,0.087,0.074,0.086,0.072,0.072,0.077,0.066,0.077,0.073,0.073,0.067,0.06,0.068,0.066,0.064,0.064,0.054,0.053
20260,"Duluth, MN-WI",O3,4th Max,1,0.065,0.062,0.065,0.068,0.061,0.07,0.063,0.063,0.059,0.062,0.067,0.059,0.063,0.057,0.057,0.056,0.052,0.054,0.059,0.056,0.054
20420,"Durango, CO",NO2,Annual Mean,2,7,7,7,7,7,7,6,7,6,8,6,6,5,5,4,4,5,5,5,5,5
20420,"Durango, CO",O3,4th Max,1,0.061,0.051,0.055,0.06,0.06,0.066,0.063,0.071,0.067,0.066,0.067,0.069,0.069,0.067,0.065,0.066,0.072,0.069,0.067,0.063,0.065
20500,"Durham-Chapel Hill, NC",O3,4th Max,1,0.082,0.088,0.102,0.083,0.076,0.079,0.075,0.079,0.078,0.065,0.074,0.072,0.076,0.059,0.065,0.061,0.063,0.061,0.063,0.063,0.051
20820,"Effingham, IL",O3,4th Max,1,0.074,0.077,0.08,0.069,0.067,0.073,0.067,0.078,0.063,0.067,0.072,0.066,0.073,0.064,0.063,0.064,0.066,0.07,0.066,0.063,0.062
20940,"El Centro, CA",NO2,Annual Mean,2,15,12,12,12,14,13,12,13,12,11,9,11,12,10,10,9,8,9,10,8,9
20940,"El Centro, CA",NO2,98th Percentile,1,88,88,88,61,76,80,73,72,73,72,56,63,66,62,61,60,60,59,64,49,51
20940,"El Centro, CA",O3,4th Max,3,0.083,0.087,0.084,0.073,0.075,0.08,0.077,0.083,0.079,0.078,0.074,0.076,0.078,0.077,0.075,0.075,0.07,0.073,0.067,0.065,0.064
21340,"El Paso, TX",NO2,Annual Mean,3,19,19,19,18,16,15,17,17,16,15,15,15,14,13,12,12,12,12,13,11,13
21340,"El Paso, TX",NO2,98th Percentile,1,67,68,80,65,66,64,65,63,67,56,55,54,53,51,54,59,60,58,61,61,61
21340,"El Paso, TX",O3,4th Max,6,0.078,0.075,0.082,0.071,0.074,0.077,0.077,0.074,0.074,0.068,0.068,0.069,0.066,0.066,0.066,0.068,0.066,0.069,0.075,0.07,0.072
21060,"Elizabethtown-Fort Knox, KY",O3,4th Max,1,0.085,0.08,0.084,0.073,0.068,0.079,0.074,0.083,0.074,0.066,0.071,0.069,0.079,0.062,0.062,0.066,0.068,0.06,0.067,0.058,0.06
21140,"Elkhart-Goshen, IN",O3,4th Max,1,0.099,0.099,0.099,0.087,0.077,0.086,0.067,0.082,0.068,0.061,0.065,0.072,0.075,0.055,0.055,0.058,0.072,0.064,0.07,0.058,0.062
21500,"Erie, PA",NO2,Annual Mean,1,12,12,12,12,12,13,11,11,9,8,8,7,6,6,6,6,5,3,4,4,4
21500,"Erie, PA",NO2,98th Percentile,1,49,53,49,51,52,57,57,48,49,38,40,41,31,36,40,43,37,31,31,31,31
21500,"Erie, PA",O3,4th Max,1,0.078,0.089,0.098,0.091,0.074,0.086,0.077,0.084,0.074,0.069,0.075,0.072,0.082,0.068,0.065,0.066,0.067,0.063,0.062,0.063,0.061
21660,"Eugene, OR",O3,4th Max,2,0.056,0.064,0.066,0.075,0.066,0.068,0.073,0.06,0.059,0.065,0.058,0.059,0.061,0.055,0.058,0.07,0.057,0.072,0.06,0.055,0.054
21780,"Evansville, IN-KY",O3,4th Max,4,0.078,0.076,0.09,0.077,0.068,0.073,0.073,0.084,0.072,0.068,0.071,0.075,0.077,0.066,0.067,0.068,0.07,0.068,0.068,0.063,0.065
21780,"Evansville, IN-KY",SO2,99th Percentile,1,203,203,235,266,226,246,265,136,90,65,74,68,76,64,77,59,71,48,49,41,59
22020,"Fargo, ND-MN",NO2,Annual Mean,1,7,6,6,6,6,6,6,5,5,5,5,4,5,4,4,4,4,4,4,4,4
22020,"Fargo, ND-MN",NO2,98th Percentile,1,40,40,33,39,42,38,38,36,39,42,44,40,34,36,34,31,27,34,32,39,34
22020,"Fargo, ND-MN",O3,4th Max,1,0.062,0.062,0.062,0.065,0.056,0.061,0.065,0.055,0.055,0.057,0.063,0.057,0.063,0.059,0.059,0.057,0.054,0.061,0.063,0.062,0.056
22020,"Fargo, ND-MN",SO2,99th Percentile,1,6,8,5,5,6,7,5,5,5,6,6,4,4,3,3,2,2,4,3,3,3
22140,"Farmington, NM",NO2,Annual Mean,2,10,10,11,11,10,10,13,13,11,10,11,11,9,10,8,8,7,7,7,7,6
22140,"Farmington, NM",NO2,98th Percentile,1,44,42,41,55,40,39,59,44,35,35,40,36,37,38,32,32,34,30,25,24,24
22140,"Farmington, NM",O3,4th Max,2,0.08,0.074,0.076,0.074,0.069,0.074,0.067,0.071,0.066,0.056,0.064,0.067,0.071,0.067,0.063,0.061,0.064,0.07,0.074,0.063,0.066
22180,"Fayetteville, NC",O3,4th Max,1,0.086,0.081,0.094,0.086,0.072,0.084,0.072,0.08,0.075,0.065,0.071,0.073,0.068,0.062,0.061,0.06,0.064,0.063,0.064,0.061,0.055
22380,"Flagstaff, AZ",O3,4th Max,1,0.071,0.068,0.079,0.073,0.072,0.079,0.07,0.069,0.071,0.065,0.069,0.074,0.073,0.069,0.067,0.07,0.064,0.065,0.068,0.061,0.063
22420,"Flint, MI",O3,4th Max,2,0.073,0.091,0.089,0.089,0.076,0.08,0.074,0.083,0.069,0.068,0.068,0.073,0.084,0.066,0.068,0.067,0.073,0.064,0.069,0.06,0.068
22500,"Florence, SC",O3,4th Max,1,0.087,0.081,0.09,0.075,0.076,0.079,0.076,0.073,0.076,0.065,0.071,0.07,0.07,0.059,0.063,0.061,0.063,0.06,0.058,0.065,0.052
22540,"Fond du Lac, WI",O3,4th Max,1,0.069,0.084,0.08,0.077,0.068,0.082,0.066,0.074,0.062,0.066,0.062,0.074,0.079,0.063,0.067,0.065,0.066,0.062,0.066,0.057,0.065
22660,"Fond du Lac, WI",O3,4th Max,2,0.074,0.069,0.08,0.081,0.069,0.076,0.077,0.074,0.071,0.066,0.072,0.073,0.077,0.074,0.071,0.069,0.07,0.067,0.073,0.065,0.07
23060,"Fort Wayne, IN",O3,4th Max,2,0.086,0.078,0.095,0.087,0.071,0.081,0.072,0.079,0.068,0.065,0.067,0.071,0.076,0.062,0.063,0.061,0.068,0.063,0.071,0.063,0.064
23420,"Fort Wayne, IN",NO2,Annual Mean,4,16,16,16,16,14,13,14,13,11,10,9,10,10,11,11,9,8,9,10,8,9
23420,"Fort Wayne, IN",O3,4th Max,4,0.106,0.107,0.112,0.104,0.089,0.093,0.094,0.087,0.101,0.093,0.095,0.096,0.093,0.089,0.09,0.09,0.089,0.089,0.083,0.077,0.085
23460,"Gadsden, AL",O3,4th Max,1,0.083,0.083,0.083,0.076,0.068,0.071,0.074,0.075,0.064,0.061,0.065,0.062,0.061,0.06,0.059,0.06,0.064,0.061,0.064,0.063,0.053
23900,"Gadsden, AL",NO2,Annual Mean,1,4,3,3,3,4,3,4,4,2,3,3,1,2,2,2,2,1,1,1,2,2
23940,"Gillette, WY",NO2,Annual Mean,1,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
23940,"Gillette, WY",O3,4th Max,1,0.069,0.069,0.071,0.074,0.065,0.063,0.072,0.072,0.066,0.062,0.063,0.061,0.071,0.061,0.058,0.059,0.057,0.064,0.064,0.055,0.062
24340,"Gillette, WY",O3,4th Max,3,0.073,0.085,0.089,0.089,0.07,0.084,0.082,0.086,0.067,0.069,0.069,0.077,0.081,0.069,0.068,0.066,0.074,0.065,0.07,0.063,0.074
24540,"Greeley, CO",O3,4th Max,1,0.08,0.08,0.08,0.083,0.069,0.078,0.082,0.074,0.073,0.067,0.073,0.077,0.08,0.073,0.07,0.073,0.067,0.072,0.073,0.065,0.072
24580,"Green Bay, WI",O3,4th Max,2,0.078,0.089,0.088,0.087,0.072,0.084,0.072,0.084,0.064,0.068,0.072,0.068,0.083,0.067,0.066,0.068,0.07,0.065,0.069,0.06,0.064
24580,"Green Bay, WI",SO2,99th Percentile,1,87,67,62,58,53,78,68,77,78,67,69,72,72,76,79,69,13,11,12,5,6
24660,"Greensboro-High Point, NC",O3,4th Max,1,0.082,0.094,0.096,0.083,0.074,0.078,0.075,0.082,0.084,0.068,0.074,0.071,0.076,0.062,0.065,0.066,0.067,0.064,0.065,0.062,0.055
24860,"Greenville-Anderson-Mauldin, SC",O3,4th Max,1,0.081,0.088,0.088,0.078,0.074,0.081,0.081,0.081,0.08,0.066,0.072,0.075,0.068,0.06,0.062,0.06,0.067,0.062,0.059,0.068,0.068
25060,"Gulfport-Biloxi-Pascagoula, MS",O3,4th Max,2,0.09,0.082,0.074,0.084,0.08,0.082,0.083,0.08,0.077,0.076,0.073,0.073,0.074,0.063,0.074,0.066,0.063,0.064,0.068,0.061,0.059
25180,"Hagerstown-Martinsburg, MD-WV",O3,4th Max,2,0.084,0.087,0.093,0.08,0.074,0.077,0.078,0.078,0.074,0.066,0.076,0.071,0.072,0.065,0.061,0.067,0.067,0.061,0.064,0.057,0.056
25260,"Hanford-Corcoran, CA",O3,4th Max,1,0.105,0.093,0.101,0.092,0.088,0.085,0.086,0.08,0.088,0.095,0.103,0.086,0.082,0.085,0.086,0.085,0.083,0.085,0.08,0.076,0.084
25420,"Harrisburg-Carlisle, PA",O3,4th Max,2,0.084,0.089,0.096,0.077,0.074,0.085,0.079,0.081,0.079,0.065,0.076,0.074,0.073,0.066,0.063,0.068,0.069,0.06,0.067,0.063,0.061
25460,"Harrison, AR",O3,4th Max,1,0.074,0.076,0.081,0.075,0.071,0.073,0.073,0.074,0.064,0.065,0.07,0.069,0.068,0.062,0.062,0.061,0.056,0.056,0.062,0.058,0.06
25540,"Hartford-West Hartford-East Hartford, CT",NO2,Annual Mean,1,17,20,17,17,15,16,13,12,11,10,10,11,9,8,9,10,9,9,8,8,8
25540,"Hartford-West Hartford-East Hartford, CT",NO2,98th Percentile,1,60,64,57,58,54,59,48,49,44,46,44,58,37,41,45,47,43,47,40,39,36
25540,"Hartford-West Hartford-East Hartford, CT",O3,4th Max,2,0.079,0.098,0.101,0.079,0.079,0.093,0.088,0.092,0.082,0.07,0.078,0.071,0.08,0.079,0.077,0.074,0.074,0.07,0.069,0.073,0.064
25860,"Hickory-Lenoir-Morganton, NC",O3,4th Max,1,0.085,0.082,0.092,0.079,0.07,0.075,0.076,0.077,0.072,0.064,0.071,0.066,0.064,0.062,0.061,0.065,0.066,0.063,0.065,0.06,0.052
26090,"Holland, MI",O3,4th Max,1,0.08,0.092,0.105,0.095,0.079,0.094,0.091,0.094,0.073,0.076,0.073,0.085,0.095,0.078,0.077,0.072,0.076,0.071,0.074,0.071,0.076
26380,"Houma-Thibodaux, LA",O3,4th Max,1,0.085,0.084,0.072,0.08,0.078,0.081,0.081,0.076,0.074,0.067,0.074,0.076,0.072,0.065,0.067,0.064,0.065,0.061,0.063,0.063,0.06
26420,"Houma-Thibodaux, LA",NO2,Annual Mean,11,12,13,12,12,12,11,11,11,10,9,9,8,8,8,7,8,7,7,7,7,7
26420,"Houma-Thibodaux, LA",NO2,98th Percentile,11,53,54,51,51,49,48,47,47,46,43,44,43,41,41,38,41,38,37,38,38,36
26420,"Houma-Thibodaux, LA",O3,4th Max,15,0.1,0.095,0.09,0.097,0.093,0.087,0.091,0.08,0.075,0.079,0.079,0.082,0.081,0.074,0.066,0.082,0.067,0.071,0.075,0.073,0.068
26420,"Houma-Thibodaux, LA",SO2,99th Percentile,2,73,64,64,65,62,62,52,45,31,31,32,33,21,19,22,15,11,19,20,10,10
26540,"Huntington, IN",O3,4th Max,1,0.087,0.082,0.089,0.083,0.069,0.078,0.072,0.078,0.06,0.062,0.062,0.069,0.067,0.059,0.056,0.054,0.066,0.061,0.066,0.06,0.06
26580,"Huntington-Ashland, WV-KY-OH",NO2,Annual Mean,1,11,11,11,10,10,11,10,11,10,9,8,7,6,6,6,6,5,4,5,5,5
26580,"Huntington-Ashland, WV-KY-OH",NO2,98th Percentile,1,42,42,42,38,36,38,39,39,42,36,37,34,30,30,32,35,29,30,27,27,27
26580,"Huntington-Ashland, WV-KY-OH",O3,4th Max,4,0.085,0.09,0.092,0.08,0.065,0.076,0.076,0.081,0.073,0.063,0.07,0.069,0.074,0.061,0.063,0.067,0.065,0.061,0.064,0.059,0.059
26580,"Huntington-Ashland, WV-KY-OH",SO2,99th Percentile,2,57,55,50,49,69,53,53,54,40,28,38,41,14,14,18,13,7,7,10,7,6
26620,"Huntsville, AL",O3,4th Max,1,0.088,0.08,0.078,0.079,0.077,0.075,0.079,0.082,0.073,0.066,0.071,0.072,0.076,0.064,0.064,0.063,0.066,0.063,0.065,0.063,0.057
26820,"Idaho Falls, ID",O3,4th Max,1,0.068,0.056,0.069,0.07,0.063,0.064,0.066,0.067,0.067,0.058,0.062,0.063,0.066,0.06,0.062,0.061,0.058,0.063,0.069,0.058,0.066
26900,"Idaho Falls, ID",O3,4th Max,7,0.084,0.086,0.099,0.085,0.071,0.08,0.075,0.081,0.069,0.07,0.068,0.072,0.076,0.063,0.062,0.061,0.068,0.066,0.072,0.064,0.064
26900,"Idaho Falls, ID",SO2,99th Percentile,1,89,98,111,122,116,103,127,122,79,75,103,63,92,78,106,54,15,6,4,5,6
27220,"Jackson, WY-ID",O3,4th Max,1,0.065,0.066,0.066,0.065,0.06,0.06,0.069,0.065,0.065,0.063,0.066,0.066,0.067,0.063,0.06,0.062,0.06,0.063,0.064,0.061,0.066
27260,"Jackson, WY-ID",NO2,Annual Mean,1,15,13,15,14,14,13,12,10,9,8,9,8,8,8,8,7,7,7,7,7,6
27260,"Jackson, WY-ID",O3,4th Max,2,0.075,0.072,0.068,0.071,0.074,0.072,0.074,0.073,0.069,0.061,0.067,0.066,0.06,0.057,0.061,0.059,0.059,0.061,0.06,0.062,0.056
27260,"Jackson, WY-ID",SO2,99th Percentile,3,107,99,100,68,80,90,94,53,42,37,85,65,34,33,37,27,25,20,22,24,28
27460,"Jamestown-Dunkirk-Fredonia, NY",O3,4th Max,1,0.087,0.09,0.1,0.094,0.085,0.089,0.083,0.086,0.084,0.068,0.08,0.069,0.081,0.066,0.066,0.071,0.069,0.066,0.071,0.065,0.064
27460,"Jamestown-Dunkirk-Fredonia, NY",SO2,99th Percentile,1,313,278,254,324,162,82,59,43,45,46,30,26,26,15,14,21,5,3,3,3,3
27540,"Jamestown-Dunkirk-Fredonia, NY",SO2,99th Percentile,1,107,155,130,183,151,119,161,172,205,194,157,119,140,169,157,74,26,24,19,19,19
27780,"Jamestown-Dunkirk-Fredonia, NY",NO2,Annual Mean,1,15,14,12,13,13,13,12,12,12,9,10,9,9,8,7,9,7,6,5,6,6
27780,"Jamestown-Dunkirk-Fredonia, NY",NO2,98th Percentile,1,48,46,42,42,45,45,42,44,45,38,43,42,34,37,41,39,36,32,34,34,31
27780,"Jamestown-Dunkirk-Fredonia, NY",O3,4th Max,1,0.086,0.09,0.088,0.083,0.071,0.077,0.073,0.072,0.067,0.064,0.072,0.072,0.073,0.065,0.06,0.065,0.064,0.062,0.059,0.054,0.06
27780,"Jamestown-Dunkirk-Fredonia, NY",SO2,99th Percentile,1,88,92,82,90,86,97,94,68,75,68,56,39,44,49,54,34,21,19,17,13,8
28020,"Kalamazoo-Portage, MI",O3,4th Max,1,0.07,0.085,0.09,0.085,0.068,0.081,0.068,0.081,0.07,0.071,0.067,0.075,0.084,0.068,0.067,0.067,0.074,0.068,0.071,0.061,0.072
28060,"Kalispell, MT",O3,4th Max,1,0.056,0.049,0.052,0.061,0.054,0.057,0.059,0.054,0.057,0.055,0.055,0.055,0.055,0.054,0.052,0.057,0.05,0.053,0.055,0.053,0.052
28140,"Kalispell, MT",NO2,Annual Mean,2,17,18,18,19,17,18,17,16,17,13,14,14,13,12,12,12,12,10,11,10,9
28140,"Kalispell, MT",NO2,98th Percentile,1,62,60,57,59,58,58,60,53,62,45,54,53,52,51,51,45,45,45,43,40,38
28140,"Kalispell, MT",O3,4th Max,5,0.087,0.078,0.085,0.086,0.066,0.083,0.086,0.078,0.067,0.069,0.069,0.074,0.083,0.067,0.065,0.064,0.065,0.066,0.071,0.062,0.063
28140,"Kalispell, MT",SO2,99th Percentile,2,57,30,58,77,97,96,112,102,110,109,109,105,109,105,90,90,10,12,6,6,6
28300,"Keene, NH",O3,4th Max,1,0.063,0.074,0.084,0.071,0.069,0.074,0.067,0.073,0.068,0.062,0.064,0.062,0.063,0.063,0.06,0.059,0.066,0.064,0.061,0.053,0.05
28700,"Kingsport-Bristol-Bristol, TN-VA",O3,4th Max,2,0.095,0.086,0.093,0.081,0.075,0.082,0.082,0.088,0.074,0.067,0.072,0.073,0.076,0.063,0.063,0.066,0.068,0.065,0.065,0.064,0.056
28820,"Kinston, NC",O3,4th Max,1,0.081,0.077,0.085,0.082,0.069,0.081,0.071,0.077,0.074,0.064,0.069,0.069,0.069,0.063,0.065,0.062,0.063,0.062,0.064,0.062,0.056
28940,"Knoxville, TN",O3,4th Max,4,0.096,0.087,0.099,0.086,0.075,0.084,0.082,0.087,0.08,0.067,0.075,0.075,0.075,0.061,0.062,0.066,0.068,0.064,0.065,0.063,0.055
29060,"Laconia, NH",O3,4th Max,1,0.078,0.078,0.08,0.076,0.07,0.073,0.067,0.075,0.07,0.062,0.064,0.061,0.065,0.06,0.061,0.055,0.06,0.063,0.056,0.052,0.053
29200,"Lafayette-West Lafayette, IN",O3,4th Max,1,0.079,0.079,0.096,0.079,0.071,0.075,0.073,0.078,0.065,0.063,0.072,0.068,0.075,0.065,0.064,0.064,0.066,0.061,0.066,0.061,0.062
29340,"Lake Charles, LA",O3,4th Max,2,0.086,0.079,0.074,0.084,0.078,0.085,0.078,0.076,0.071,0.077,0.076,0.074,0.072,0.066,0.067,0.069,0.064,0.063,0.068,0.065,0.061
29340,"Lake Charles, LA",SO2,99th Percentile,1,62,54,65,70,48,47,39,41,37,46,34,37,42,31,33,33,34,23,29,14,14
29380,"Lake City, FL",O3,4th Max,1,0.074,0.074,0.068,0.073,0.071,0.074,0.071,0.072,0.067,0.057,0.068,0.064,0.062,0.059,0.06,0.058,0.061,0.062,0.063,0.063,0.049
29460,"Lakeland-Winter Haven, FL",O3,4th Max,2,0.078,0.084,0.072,0.076,0.072,0.075,0.077,0.075,0.072,0.066,0.066,0.07,0.071,0.064,0.063,0.063,0.063,0.072,0.066,0.067,0.062
29540,"Lancaster, PA",O3,4th Max,1,0.09,0.097,0.097,0.083,0.081,0.085,0.085,0.083,0.08,0.069,0.082,0.078,0.081,0.066,0.066,0.071,0.071,0.068,0.069,0.065,0.062
29700,"Laredo, TX",O3,4th Max,1,0.07,0.063,0.066,0.065,0.061,0.064,0.06,0.059,0.056,0.052,0.063,0.064,0.064,0.065,0.057,0.056,0.05,0.054,0.058,0.059,0.06
29740,"Las Cruces, NM",NO2,Annual Mean,2,8,8,8,8,7,7,7,7,7,6,7,6,6,5,6,6,6,5,6,6,7
29740,"Las Cruces, NM",NO2,98th Percentile,2,58,53,51,51,49,48,49,46,51,48,47,45,44,41,43,43,43,42,44,44,47
29740,"Las Cruces, NM",O3,4th Max,4,0.077,0.073,0.077,0.075,0.072,0.072,0.074,0.071,0.071,0.065,0.065,0.069,0.073,0.071,0.068,0.07,0.068,0.073,0.076,0.073,0.072
29820,"Las Cruces, NM",O3,4th Max,8,0.078,0.077,0.081,0.08,0.078,0.082,0.08,0.079,0.074,0.071,0.07,0.074,0.076,0.073,0.074,0.07,0.068,0.07,0.072,0.066,0.071
30460,"Lexington-Fayette, KY",NO2,Annual Mean,1,13,13,12,12,12,12,12,11,8,8,9,8,8,7,7,7,7,5,3,6,5
30460,"Lexington-Fayette, KY",NO2,98th Percentile,1,53,56,54,48,52,53,50,56,49,44,56,47,45,44,39,41,43,37,31,42,38
30460,"Lexington-Fayette, KY",O3,4th Max,2,0.077,0.077,0.083,0.071,0.064,0.078,0.07,0.079,0.07,0.064,0.07,0.074,0.078,0.061,0.065,0.069,0.066,0.063,0.063,0.059,0.06
30460,"Lexington-Fayette, KY",SO2,99th Percentile,1,48,70,32,43,42,39,46,52,35,42,40,23,15,12,13,9,3,4,5,4,3
30700,"Lincoln, NE",O3,4th Max,1,0.057,0.051,0.054,0.06,0.056,0.056,0.056,0.054,0.051,0.053,0.05,0.053,0.058,0.055,0.061,0.061,0.058,0.062,0.062,0.056,0.054
30780,"Little Rock-North Little Rock-Conway, AR",NO2,Annual Mean,1,15,15,15,14,14,12,12,11,9,9,10,10,11,10,9,9,8,8,7,8,7
30780,"Little Rock-North Little Rock-Conway, AR",NO2,98th Percentile,1,62,62,62,54,54,54,50,46,40,40,51,47,55,47,45,45,41,39,42,38,36
30780,"Little Rock-North Little Rock-Conway, AR",O3,4th Max,2,0.09,0.079,0.085,0.075,0.073,0.083,0.083,0.081,0.068,0.072,0.072,0.078,0.078,0.067,0.066,0.063,0.064,0.06,0.066,0.059,0.062
30980,"Longview, TX",NO2,Annual Mean,1,6,7,7,7,7,7,7,7,7,5,7,6,5,5,4,4,4,3,4,3,3
30980,"Longview, TX",NO2,98th Percentile,1,33,33,30,32,29,30,30,28,32,33,42,36,26,23,24,23,23,18,19,18,16
30980,"Longview, TX",O3,4th Max,1,0.099,0.082,0.084,0.082,0.083,0.088,0.084,0.081,0.071,0.073,0.078,0.082,0.078,0.071,0.066,0.068,0.065,0.062,0.068,0.067,0.055
30980,"Longview, TX",SO2,99th Percentile,1,70,71,46,71,67,68,64,103,65,56,76,51,42,65,42,30,33,27,51,46,50
31080,"Longview, TX",NO2,Annual Mean,11,29,28,27,26,23,22,22,22,21,19,18,17,16,16,15,14,14,14,13,12,12
31080,"Longview, TX",NO2,98th Percentile,7,96,91,86,90,80,70,73,73,72,64,60,58,56,55,56,53,51,50,49,45,47
31080,"Longview, TX",O3,4th Max,12,0.091,0.088,0.093,0.101,0.09,0.087,0.092,0.088,0.091,0.088,0.076,0.079,0.08,0.076,0.083,0.083,0.083,0.09,0.083,0.08,0.096
31140,"Louisville/Jefferson County, KY-IN",O3,4th Max,4,0.082,0.081,0.094,0.079,0.071,0.084,0.077,0.082,0.074,0.068,0.075,0.081,0.085,0.068,0.068,0.069,0.07,0.067,0.07,0.064,0.064
31140,"Louisville/Jefferson County, KY-IN",SO2,99th Percentile,3,131,122,117,126,126,133,137,163,124,112,110,63,72,69,78,36,18,11,12,9,8
31220,"Ludington, MI",O3,4th Max,1,0.081,0.093,0.089,0.087,0.071,0.085,0.076,0.083,0.068,0.068,0.07,0.072,0.085,0.068,0.07,0.066,0.074,0.064,0.068,0.057,0.068
31420,"Macon, GA",O3,4th Max,1,0.097,0.086,0.093,0.081,0.086,0.082,0.077,0.08,0.078,0.07,0.071,0.078,0.072,0.064,0.065,0.062,0.07,0.063,0.064,0.066,0.054
31460,"Madera, CA",NO2,Annual Mean,1,13,11,12,10,10,10,11,10,10,9,8,8,8,7,6,6,6,6,6,6,6
31460,"Madera, CA",O3,4th Max,1,0.088,0.09,0.096,0.093,0.078,0.076,0.081,0.077,0.091,0.085,0.078,0.08,0.078,0.079,0.088,0.08,0.081,0.081,0.072,0.075,0.081
