CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
31540,"Madison, WI",O3,4th Max,2,0.072,0.078,0.081,0.078,0.065,0.079,0.066,0.079,0.064,0.063,0.062,0.068,0.074,0.067,0.068,0.064,0.068,0.064,0.066,0.059,0.07
31820,"Manitowoc, WI",O3,4th Max,1,0.084,0.097,0.083,0.092,0.074,0.095,0.078,0.085,0.064,0.078,0.077,0.076,0.088,0.073,0.066,0.077,0.074,0.071,0.076,0.066,0.069
31930,"Marietta, OH",O3,4th Max,1,0.082,0.085,0.095,0.08,0.077,0.088,0.081,0.086,0.078,0.067,0.076,0.071,0.075,0.063,0.063,0.068,0.064,0.062,0.066,0.062,0.059
32220,"Marshall, TX",NO2,Annual Mean,1,3,3,3,4,3,4,4,4,4,3,4,4,4,3,3,2,2,2,2,2,2
32220,"Marshall, TX",NO2,98th Percentile,1,25,25,25,23,19,25,25,19,20,19,24,28,20,19,18,18,16,20,15,16,14
32220,"Marshall, TX",O3,4th Max,1,0.088,0.088,0.088,0.08,0.077,0.084,0.08,0.069,0.068,0.068,0.074,0.076,0.072,0.07,0.066,0.062,0.059,0.063,0.061,0.062,0.055
32540,"McAlester, OK",O3,4th Max,1,0.076,0.076,0.076,0.076,0.068,0.071,0.077,0.071,0.067,0.067,0.068,0.078,0.076,0.071,0.062,0.06,0.059,0.061,0.069,0.065,0.057
32580,"McAllen-Edinburg-Mission, TX",O3,4th Max,1,0.077,0.074,0.074,0.073,0.07,0.069,0.06,0.055,0.058,0.06,0.065,0.062,0.061,0.055,0.056,0.058,0.052,0.055,0.059,0.053,0.055
32780,"Medford, OR",O3,4th Max,1,0.067,0.064,0.078,0.072,0.069,0.068,0.068,0.066,0.07,0.065,0.061,0.057,0.066,0.067,0.059,0.069,0.049,0.078,0.074,0.062,0.06
32820,"Memphis, TN-MS-AR",O3,4th Max,4,0.092,0.085,0.091,0.083,0.077,0.086,0.086,0.082,0.077,0.07,0.076,0.078,0.08,0.066,0.067,0.065,0.069,0.063,0.069,0.065,0.063
32900,"Merced, CA",NO2,Annual Mean,1,12,12,12,12,11,11,10,9,9,8,7,7,7,8,8,7,7,7,7,6,7
32900,"Merced, CA",O3,4th Max,1,0.103,0.096,0.105,0.107,0.096,0.083,0.087,0.087,0.105,0.08,0.09,0.082,0.079,0.083,0.082,0.083,0.082,0.078,0.079,0.072,0.079
32940,"Meridian, MS",O3,4th Max,1,0.08,0.076,0.073,0.071,0.069,0.078,0.079,0.072,0.064,0.058,0.062,0.066,0.063,0.061,0.058,0.056,0.058,0.055,0.062,0.059,0.051
33060,"Miami, OK",O3,4th Max,1,0.081,0.081,0.076,0.08,0.078,0.079,0.079,0.073,0.066,0.063,0.068,0.079,0.083,0.066,0.055,0.056,0.053,0.06,0.059,0.055,0.046
33100,"Miami, OK",NO2,Annual Mean,3,11,10,9,9,9,9,9,7,6,6,7,6,5,5,7,5,5,6,5,5,4
33100,"Miami, OK",NO2,98th Percentile,2,58,55,46,49,53,53,54,48,43,40,46,38,41,42,45,36,40,40,42,40,39
33100,"Miami, OK",O3,4th Max,4,0.075,0.071,0.064,0.065,0.063,0.065,0.075,0.067,0.067,0.062,0.064,0.06,0.062,0.061,0.062,0.061,0.061,0.064,0.064,0.058,0.058
33140,"Michigan City-La Porte, IN",O3,4th Max,2,0.077,0.085,0.104,0.083,0.068,0.087,0.072,0.076,0.062,0.065,0.069,0.075,0.09,0.067,0.066,0.064,0.07,0.075,0.077,0.066,0.072
33180,"Middlesborough, KY",O3,4th Max,1,0.09,0.077,0.091,0.078,0.069,0.077,0.066,0.071,0.07,0.06,0.068,0.062,0.066,0.058,0.062,0.059,0.062,0.06,0.061,0.059,0.053
33340,"Milwaukee-Waukesha-West Allis, WI",O3,4th Max,4,0.085,0.095,0.093,0.09,0.071,0.092,0.071,0.081,0.066,0.069,0.078,0.072,0.089,0.068,0.07,0.069,0.074,0.07,0.073,0.064,0.073
33460,"Milwaukee-Waukesha-West Allis, WI",NO2,Annual Mean,2,11,10,9,10,9,9,10,10,7,7,8,7,8,7,7,6,6,6,6,6,5
33460,"Milwaukee-Waukesha-West Allis, WI",NO2,98th Percentile,1,41,41,33,34,36,37,35,34,32,29,30,30,29,29,28,25,24,23,28,25,22
33460,"Milwaukee-Waukesha-West Allis, WI",O3,4th Max,3,0.065,0.076,0.073,0.07,0.062,0.073,0.069,0.07,0.058,0.06,0.064,0.064,0.068,0.064,0.062,0.06,0.061,0.061,0.062,0.059,0.06
33460,"Milwaukee-Waukesha-West Allis, WI",SO2,99th Percentile,4,39,34,27,44,39,37,27,24,23,20,20,10,10,11,9,7,7,8,8,7,7
33660,"Mobile, AL",O3,4th Max,2,0.091,0.074,0.077,0.081,0.076,0.073,0.083,0.079,0.073,0.07,0.076,0.071,0.07,0.061,0.069,0.062,0.063,0.064,0.065,0.058,0.052
33700,"Modesto, CA",NO2,Annual Mean,1,16,17,17,15,14,13,13,12,12,11,10,11,11,11,10,9,9,10,10,9,9
33700,"Modesto, CA",NO2,98th Percentile,1,55,62,68,58,55,53,51,46,52,48,39,41,44,46,41,36,42,46,47,44,41
33700,"Modesto, CA",O3,4th Max,2,0.089,0.093,0.095,0.088,0.084,0.084,0.091,0.076,0.098,0.083,0.08,0.081,0.085,0.078,0.081,0.084,0.083,0.084,0.081,0.079,0.079
33740,"Monroe, LA",O3,4th Max,1,0.081,0.077,0.078,0.08,0.073,0.079,0.076,0.065,0.057,0.066,0.07,0.063,0.058,0.062,0.059,0.06,0.06,0.061,0.057,0.059,0.057
33860,"Montgomery, AL",O3,4th Max,1,0.086,0.077,0.081,0.066,0.063,0.069,0.074,0.08,0.069,0.064,0.072,0.07,0.066,0.061,0.062,0.063,0.063,0.057,0.062,0.06,0.053
34060,"Morgantown, WV",O3,4th Max,1,0.08,0.076,0.087,0.075,0.066,0.081,0.077,0.078,0.066,0.063,0.077,0.069,0.072,0.064,0.064,0.069,0.059,0.061,0.062,0.06,0.062
34060,"Morgantown, WV",SO2,99th Percentile,1,186,197,282,176,182,140,181,193,130,182,24,22,16,14,15,16,9,11,12,14,10
34100,"Morristown, TN",O3,4th Max,1,0.095,0.091,0.099,0.085,0.078,0.084,0.083,0.085,0.075,0.068,0.079,0.073,0.082,0.065,0.067,0.07,0.068,0.065,0.067,0.065,0.058
34620,"Muncie, IN",O3,4th Max,1,0.084,0.084,0.095,0.085,0.07,0.081,0.072,0.079,0.062,0.068,0.067,0.07,0.075,0.061,0.054,0.058,0.067,0.063,0.07,0.059,0.062
34740,"Muskegon, MI",O3,4th Max,1,0.078,0.095,0.096,0.094,0.07,0.09,0.09,0.086,0.072,0.074,0.076,0.079,0.091,0.073,0.075,0.074,0.076,0.074,0.08,0.068,0.08
34940,"Naples-Immokalee-Marco Island, FL",O3,4th Max,1,0.061,0.061,0.061,0.073,0.071,0.065,0.07,0.069,0.071,0.061,0.059,0.06,0.059,0.061,0.058,0.057,0.058,0.062,0.062,0.059,0.057
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",NO2,Annual Mean,1,19,18,16,8,16,18,17,18,15,12,13,12,12,11,10,9,9,8,8,7,7
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",O3,4th Max,5,0.085,0.079,0.084,0.077,0.072,0.078,0.078,0.082,0.072,0.064,0.073,0.071,0.078,0.065,0.066,0.064,0.066,0.062,0.067,0.063,0.06
35260,"New Castle, PA",O3,4th Max,1,0.069,0.078,0.087,0.077,0.068,0.075,0.07,0.075,0.069,0.063,0.068,0.071,0.082,0.068,0.068,0.069,0.068,0.062,0.066,0.056,0.06
35380,"New Orleans-Metairie, LA",NO2,Annual Mean,1,11,10,9,10,9,9,10,9,9,8,8,8,8,6,7,6,7,6,6,5,5
35380,"New Orleans-Metairie, LA",NO2,98th Percentile,1,54,53,46,47,46,50,53,55,52,48,47,51,46,46,42,45,39,37,37,36,34
35380,"New Orleans-Metairie, LA",O3,4th Max,3,0.091,0.079,0.072,0.083,0.077,0.079,0.08,0.082,0.07,0.073,0.074,0.074,0.071,0.064,0.069,0.067,0.065,0.063,0.065,0.062,0.061
35620,"New Orleans-Metairie, LA",NO2,Annual Mean,5,25,25,24,23,21,22,20,18,17,17,15,16,14,14,14,14,13,12,12,12,11
35620,"New Orleans-Metairie, LA",NO2,98th Percentile,4,74,73,69,68,66,67,63,57,58,56,55,56,52,50,55,49,47,47,48,47,43
35620,"New Orleans-Metairie, LA",O3,4th Max,14,0.088,0.093,0.101,0.088,0.079,0.09,0.084,0.086,0.082,0.07,0.08,0.079,0.078,0.07,0.067,0.073,0.072,0.07,0.072,0.066,0.063
35620,"New Orleans-Metairie, LA",SO2,99th Percentile,7,45,48,43,47,47,46,37,32,31,28,20,22,16,10,10,7,5,4,5,5,5
35660,"Niles-Benton Harbor, MI",O3,4th Max,1,0.077,0.088,0.098,0.089,0.073,0.09,0.076,0.086,0.073,0.07,0.072,0.083,0.091,0.074,0.073,0.072,0.078,0.069,0.073,0.066,0.078
35840,"North Port-Sarasota-Bradenton, FL",O3,4th Max,5,0.082,0.08,0.072,0.077,0.077,0.075,0.077,0.073,0.071,0.061,0.067,0.07,0.065,0.066,0.063,0.062,0.06,0.065,0.065,0.065,0.057
36100,"Ocala, FL",O3,4th Max,2,0.076,0.073,0.075,0.074,0.074,0.072,0.073,0.073,0.07,0.059,0.067,0.066,0.061,0.061,0.062,0.058,0.061,0.062,0.062,0.061,0.059
36260,"Ogden-Clearfield, UT",NO2,Annual Mean,1,27,27,27,26,24,24,21,25,23,22,17,16,16,17,16,15,15,18,17,17,17
36260,"Ogden-Clearfield, UT",O3,4th Max,2,0.078,0.078,0.084,0.08,0.069,0.082,0.081,0.08,0.074,0.069,0.07,0.069,0.075,0.072,0.069,0.071,0.07,0.071,0.075,0.068,0.073
36420,"Oklahoma City, OK",NO2,Annual Mean,1,13,13,14,11,10,12,10,10,10,8,9,10,9,9,7,7,7,7,7,7,7
36420,"Oklahoma City, OK",NO2,98th Percentile,1,57,55,59,55,54,53,55,52,54,45,47,55,60,46,46,43,45,43,41,41,41
36420,"Oklahoma City, OK",O3,4th Max,6,0.081,0.08,0.078,0.079,0.072,0.076,0.081,0.073,0.071,0.072,0.071,0.082,0.078,0.07,0.068,0.067,0.065,0.07,0.072,0.067,0.066
36540,"Omaha-Council Bluffs, NE-IA",O3,4th Max,1,0.063,0.056,0.07,0.064,0.069,0.069,0.072,0.066,0.057,0.055,0.058,0.057,0.066,0.058,0.059,0.055,0.063,0.061,0.063,0.05,0.055
36540,"Omaha-Council Bluffs, NE-IA",SO2,99th Percentile,1,22,22,22,37,52,109,64,95,70,73,58,65,73,56,54,57,65,55,29,38,34
36740,"Omaha-Council Bluffs, NE-IA",NO2,Annual Mean,1,12,12,11,11,10,9,8,7,6,6,6,5,5,5,5,4,4,4,5,4,3
36740,"Omaha-Council Bluffs, NE-IA",NO2,98th Percentile,1,59,54,49,51,48,45,46,43,38,38,40,33,35,34,36,25,29,30,30,30,30
36740,"Omaha-Council Bluffs, NE-IA",O3,4th Max,5,0.079,0.078,0.074,0.075,0.074,0.08,0.078,0.075,0.07,0.064,0.068,0.072,0.069,0.063,0.063,0.06,0.064,0.067,0.064,0.065,0.061
36740,"Omaha-Council Bluffs, NE-IA",SO2,99th Percentile,1,26,29,16,13,12,12,12,10,8,8,7,5,5,3,7,3,2,5,4,3,4
36980,"Owensboro, KY",NO2,Annual Mean,1,11,10,10,10,8,8,6,4,7,6,7,6,6,5,5,4,4,4,4,4,4
36980,"Owensboro, KY",NO2,98th Percentile,1,45,44,40,40,35,35,33,36,36,35,38,33,31,31,31,33,29,29,28,27,26
36980,"Owensboro, KY",O3,4th Max,2,0.077,0.075,0.09,0.073,0.069,0.078,0.076,0.084,0.072,0.068,0.073,0.078,0.084,0.065,0.065,0.068,0.068,0.064,0.064,0.063,0.065
36980,"Owensboro, KY",SO2,99th Percentile,1,73,72,89,98,81,91,58,64,54,43,68,40,37,45,48,37,25,17,17,34,12
37080,"Oxford, NC",O3,4th Max,1,0.091,0.094,0.098,0.09,0.081,0.085,0.076,0.083,0.081,0.07,0.074,0.072,0.072,0.063,0.065,0.063,0.065,0.065,0.065,0.062,0.054
37100,"Oxnard-Thousand Oaks-Ventura, CA",NO2,Annual Mean,2,17,15,13,13,12,13,11,11,10,10,9,8,8,8,8,7,7,7,7,6,6
37100,"Oxnard-Thousand Oaks-Ventura, CA",NO2,98th Percentile,2,61,55,51,52,47,47,43,43,43,39,39,37,36,35,36,32,32,33,33,30,29
37100,"Oxnard-Thousand Oaks-Ventura, CA",O3,4th Max,5,0.087,0.088,0.084,0.087,0.084,0.08,0.081,0.075,0.079,0.079,0.074,0.074,0.071,0.068,0.076,0.069,0.071,0.074,0.066,0.067,0.075
37140,"Paducah, KY-IL",NO2,Annual Mean,1,11,11,9,9,9,9,9,9,8,5,7,6,6,6,6,6,5,5,5,5,4
37140,"Paducah, KY-IL",NO2,98th Percentile,1,56,51,46,44,44,45,43,43,42,40,47,37,36,34,36,39,31,31,28,32,30
37140,"Paducah, KY-IL",O3,4th Max,2,0.083,0.081,0.088,0.078,0.069,0.075,0.073,0.079,0.068,0.066,0.07,0.071,0.087,0.065,0.065,0.063,0.066,0.063,0.067,0.061,0.064
37140,"Paducah, KY-IL",SO2,99th Percentile,1,30,30,24,24,24,26,25,28,26,25,25,27,24,18,20,18,16,12,10,13,7
37260,"Paducah, KY-IL",SO2,99th Percentile,1,54,60,43,53,48,60,61,34,39,44,33,32,26,27,25,22,12,20,13,9,8
37340,"Palm Bay-Melbourne-Titusville, FL",O3,4th Max,2,0.078,0.079,0.068,0.072,0.067,0.07,0.076,0.068,0.068,0.063,0.064,0.066,0.065,0.063,0.061,0.059,0.06,0.061,0.06,0.053,0.058
37460,"Panama City, FL",O3,4th Max,1,0.082,0.082,0.071,0.083,0.08,0.078,0.077,0.077,0.075,0.065,0.072,0.07,0.066,0.063,0.065,0.061,0.062,0.059,0.06,0.062,0.058
37620,"Parkersburg-Vienna, WV",O3,4th Max,1,0.087,0.084,0.095,0.083,0.069,0.084,0.08,0.084,0.071,0.061,0.073,0.065,0.077,0.064,0.067,0.071,0.067,0.058,0.061,0.061,0.058
37620,"Parkersburg-Vienna, WV",SO2,99th Percentile,1,193,163,125,131,171,167,97,128,149,119,84,54,24,25,31,28,18,19,16,22,19
37740,"Payson, AZ",O3,4th Max,1,0.087,0.087,0.087,0.084,0.077,0.084,0.081,0.076,0.078,0.072,0.07,0.076,0.078,0.072,0.072,0.073,0.07,0.076,0.076,0.075,0.081
37740,"Payson, AZ",SO2,99th Percentile,1,177,267,232,280,292,295,241,322,257,274,314,189,353,256,236,246,359,280,208,191,3
37860,"Pensacola-Ferry Pass-Brent, FL",O3,4th Max,2,0.09,0.079,0.073,0.082,0.081,0.082,0.083,0.081,0.074,0.071,0.073,0.072,0.07,0.065,0.07,0.062,0.062,0.065,0.067,0.063,0.058
37860,"Pensacola-Ferry Pass-Brent, FL",SO2,99th Percentile,1,140,100,84,76,85,69,79,81,119,74,45,22,14,29,33,9,8,8,5,12,4
37900,"Peoria, IL",O3,4th Max,2,0.072,0.074,0.083,0.072,0.064,0.075,0.067,0.078,0.064,0.061,0.064,0.068,0.072,0.062,0.064,0.062,0.067,0.066,0.07,0.063,0.067
37980,"Peoria, IL",NO2,Annual Mean,2,19,19,19,19,18,17,17,16,15,14,12,12,11,10,11,11,10,10,9,9,9
37980,"Peoria, IL",O3,4th Max,11,0.095,0.098,0.106,0.086,0.082,0.089,0.084,0.088,0.084,0.07,0.082,0.083,0.083,0.068,0.071,0.073,0.075,0.073,0.073,0.067,0.063
37980,"Peoria, IL",SO2,99th Percentile,2,112,118,118,116,85,124,93,46,47,28,30,25,19,12,12,10,10,4,5,7,7
38060,"Peoria, IL",NO2,Annual Mean,2,29,27,29,28,24,25,24,22,20,19,18,19,20,19,19,17,17,18,17,15,15
38060,"Peoria, IL",NO2,98th Percentile,2,101,73,75,72,69,68,72,68,64,61,57,58,61,58,59,57,57,59,54,50,51
38060,"Peoria, IL",O3,4th Max,20,0.08,0.079,0.081,0.08,0.073,0.078,0.077,0.073,0.076,0.068,0.072,0.076,0.076,0.073,0.072,0.071,0.07,0.073,0.073,0.071,0.078
38060,"Peoria, IL",SO2,99th Percentile,1,24,15,17,13,14,15,15,12,8,10,10,8,8,8,7,7,6,8,8,5,5
38300,"Pittsburgh, PA",NO2,Annual Mean,2,15,15,15,14,13,15,14,14,12,11,11,10,9,9,9,9,8,7,6,6,7
38300,"Pittsburgh, PA",NO2,98th Percentile,2,52,48,49,47,44,47,48,43,42,41,41,38,37,36,42,40,38,35,36,35,33
38300,"Pittsburgh, PA",O3,4th Max,9,0.08,0.089,0.098,0.086,0.074,0.084,0.077,0.078,0.075,0.068,0.076,0.071,0.077,0.07,0.066,0.069,0.07,0.065,0.067,0.06,0.064
38300,"Pittsburgh, PA",SO2,99th Percentile,6,141,148,142,121,125,127,111,129,98,108,80,73,51,33,42,41,28,34,34,25,14
38860,"Portland-South Portland, ME",O3,4th Max,3,0.069,0.088,0.093,0.073,0.073,0.073,0.072,0.081,0.068,0.068,0.067,0.067,0.071,0.07,0.064,0.063,0.064,0.063,0.064,0.06,0.056
38900,"Portland-South Portland, ME",O3,4th Max,3,0.059,0.063,0.061,0.071,0.06,0.059,0.067,0.058,0.062,0.064,0.056,0.056,0.059,0.053,0.057,0.064,0.057,0.073,0.062,0.058,0.058
39300,"Portland-South Portland, ME",O3,4th Max,3,0.084,0.103,0.095,0.086,0.081,0.088,0.08,0.087,0.077,0.068,0.075,0.075,0.078,0.076,0.065,0.073,0.072,0.075,0.075,0.065,0.065
39300,"Portland-South Portland, ME",SO2,99th Percentile,1,88,87,74,61,58,70,67,56,55,53,84,65,65,62,13,10,7,11,4,4,3
39340,"Provo-Orem, UT",O3,4th Max,1,0.089,0.072,0.077,0.078,0.07,0.08,0.079,0.077,0.072,0.069,0.07,0.065,0.076,0.07,0.076,0.071,0.072,0.072,0.073,0.066,0.07
39580,"Raleigh, NC",O3,4th Max,2,0.085,0.084,0.099,0.085,0.075,0.083,0.075,0.081,0.077,0.067,0.073,0.074,0.073,0.062,0.064,0.065,0.068,0.063,0.063,0.063,0.055
39780,"Red Bluff, CA",O3,4th Max,1,0.082,0.078,0.091,0.084,0.082,0.081,0.087,0.082,0.087,0.078,0.076,0.075,0.077,0.072,0.076,0.076,0.087,0.074,0.082,0.066,0.074
39820,"Redding, CA",O3,4th Max,3,0.077,0.068,0.075,0.075,0.076,0.077,0.076,0.074,0.08,0.069,0.066,0.063,0.066,0.061,0.069,0.067,0.068,0.065,0.071,0.061,0.065
39900,"Redding, CA",O3,4th Max,6,0.067,0.071,0.073,0.071,0.069,0.067,0.071,0.069,0.074,0.064,0.067,0.064,0.07,0.066,0.068,0.069,0.068,0.067,0.075,0.062,0.071
40060,"Richmond, VA",NO2,Annual Mean,1,11,12,12,10,10,10,10,7,6,5,5,6,5,4,5,4,3,4,5,5,3
40060,"Richmond, VA",NO2,98th Percentile,1,68,61,64,67,69,60,62,62,60,55,56,55,46,39,44,38,44,32,31,28,26
40060,"Richmond, VA",O3,4th Max,5,0.082,0.089,0.097,0.082,0.076,0.082,0.082,0.081,0.082,0.065,0.078,0.076,0.076,0.064,0.062,0.062,0.064,0.063,0.063,0.061,0.054
40060,"Richmond, VA",SO2,99th Percentile,1,75,80,92,84,79,94,78,94,58,47,44,38,21,30,29,29,24,18,18,14,3
40140,"Richmond, VA",NO2,Annual Mean,10,23,23,23,21,19,20,19,18,16,15,15,14,14,13,13,12,12,12,12,11,11
40140,"Richmond, VA",NO2,98th Percentile,6,81,82,78,78,74,70,69,64,62,55,54,55,58,55,52,51,48,48,46,45,48
40140,"Richmond, VA",O3,4th Max,17,0.101,0.109,0.108,0.113,0.102,0.101,0.103,0.1,0.103,0.094,0.092,0.094,0.093,0.089,0.089,0.092,0.093,0.096,0.096,0.088,0.098
40140,"Richmond, VA",SO2,99th Percentile,2,11,10,10,9,9,12,11,10,7,8,10,9,7,6,5,5,5,16,5,6,4
40220,"Roanoke, VA",NO2,Annual Mean,1,11,14,13,13,14,14,12,10,7,7,8,7,7,6,6,5,6,5,5,5,5
40220,"Roanoke, VA",NO2,98th Percentile,1,49,51,47,47,47,46,46,42,37,37,41,38,37,35,39,31,37,32,31,32,31
40220,"Roanoke, VA",O3,4th Max,1,0.081,0.089,0.091,0.077,0.071,0.076,0.076,0.076,0.071,0.064,0.073,0.067,0.07,0.057,0.06,0.062,0.064,0.058,0.062,0.059,0.054
40220,"Roanoke, VA",SO2,99th Percentile,1,19,18,19,17,16,15,22,17,12,10,10,9,5,5,6,5,4,3,2,3,3
40380,"Rochester, NY",O3,4th Max,1,0.07,0.086,0.094,0.084,0.065,0.065,0.064,0.078,0.073,0.061,0.071,0.058,0.072,0.066,0.064,0.061,0.067,0.065,0.071,0.06,0.06
40420,"Rockford, IL",O3,4th Max,1,0.07,0.075,0.078,0.071,0.061,0.075,0.063,0.073,0.06,0.067,0.063,0.068,0.074,0.063,0.07,0.066,0.07,0.064,0.07,0.066,0.067
40500,"Rockland, ME",O3,4th Max,1,0.07,0.091,0.088,0.082,0.074,0.075,0.072,0.082,0.061,0.069,0.07,0.068,0.062,0.076,0.061,0.067,0.063,0.062,0.064,0.059,0.059
40580,"Rocky Mount, NC",O3,4th Max,1,0.085,0.085,0.095,0.088,0.072,0.079,0.074,0.08,0.075,0.066,0.072,0.072,0.071,0.064,0.062,0.061,0.064,0.061,0.062,0.06,0.054
40860,"Rocky Mount, NC",NO2,Annual Mean,1,11,13,13,13,12,12,10,10,10,8,8,8,7,7,7,8,7,6,7,7,6
40860,"Rocky Mount, NC",NO2,98th Percentile,1,45,48,54,53,52,51,39,44,43,41,39,36,33,36,38,38,32,34,35,35,32
40860,"Rocky Mount, NC",SO2,99th Percentile,1,57,43,56,55,55,54,44,47,33,27,21,27,16,10,14,2,2,2,2,3,2
40900,"Rocky Mount, NC",NO2,Annual Mean,5,12,11,12,11,10,10,10,10,9,8,7,8,7,7,6,6,5,5,5,4,4
40900,"Rocky Mount, NC",NO2,98th Percentile,5,51,53,51,48,43,43,44,42,42,37,37,37,36,36,34,32,30,28,30,29,27
40900,"Rocky Mount, NC",O3,4th Max,12,0.088,0.088,0.092,0.089,0.079,0.087,0.091,0.08,0.089,0.083,0.077,0.077,0.082,0.071,0.074,0.074,0.077,0.073,0.076,0.067,0.072
40900,"Rocky Mount, NC",SO2,99th Percentile,1,21,21,9,9,6,5,7,5,4,3,1,2,2,3,5,8,9,6,2,3,3
41420,"Salem, OR",O3,4th Max,1,0.059,0.057,0.063,0.072,0.062,0.063,0.075,0.06,0.066,0.069,0.057,0.057,0.063,0.055,0.066,0.065,0.065,0.078,0.066,0.055,0.057
41500,"Salem, OR",NO2,Annual Mean,1,7,7,7,6,7,8,7,7,7,6,6,6,5,5,5,5,4,4,5,4,4
41500,"Salem, OR",NO2,98th Percentile,1,35,35,38,33,37,39,37,35,34,34,31,34,35,36,32,28,24,27,29,26,25
41500,"Salem, OR",O3,4th Max,2,0.059,0.062,0.061,0.063,0.066,0.055,0.057,0.056,0.06,0.057,0.058,0.056,0.052,0.055,0.061,0.057,0.054,0.056,0.052,0.056,0.051
41540,"Salisbury, MD-DE",O3,4th Max,2,0.09,0.09,0.093,0.087,0.077,0.086,0.081,0.081,0.08,0.068,0.084,0.076,0.085,0.069,0.065,0.067,0.069,0.063,0.068,0.062,0.059
41620,"Salisbury, MD-DE",NO2,Annual Mean,1,26,27,27,24,25,23,22,23,22,18,17,18,16,18,14,16,18,13,15,14,15
